price.symbol,shortName,longBusinessSummary,sector,industry,beta,marketCap,OCY Margin,priceToSalesTrailing12Months,revenueGrowth,Revenue Multiplier,Revenu M nOrmalised,52WeekChange,currentPrice,mostRecentQuarter,trailingAnnualDividendYield,payoutRatio,exDividendDate,heldPercentInsiders,heldPercentInstitutions,country,Employees,EarningsGrowth,EVEBITDA,Floatshares,ForwardEps,PricetoBook,ProfitMargin,SharesOutstaning,TrailingEPs,CurrentPrice2,DebttoEquity,FreeCashflow,GrossMargin,OperatingCashflow,OperatingMargin,ProfitMargin3,QuickRatio,ROA,Revenuepershare,TotalCash,TotalDebt,totalRevenue,Fiftytwoweekhigh,Fiftytwoweeklow,priceToSalesTrailing12Months4,AnnualDividednYield,TrailingPE,City,Country5,Earningdateexpected,targetMeanPrice,targetHighPrice,totalRevenue_raw,marketCap_raw,revenueperemp,Operating Income
SBUX,Starbucks Corporation,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of specialty coffee worldwide. The company operates through three segments: Americas, International, and Channel Development. Its stores offer coffee and tea beverages, roasted whole bean and ground coffees, single-serve and ready-to-drink beverages, and iced tea; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks, Teavana, Seattle's Best Coffee, Evolution Fresh, Ethos, Starbucks Reserve, and Princi brand names. As of October 29, 2020, it operated approximately 32,000 stores. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington.",Consumer Cyclical,Restaurants,0.87053,126.925,6.89%,5.48,-4.90%,-0.34%,-0.06%,,107.81,27-12-2020,1.60%,294.74%,17-02-2021,0.17%,69.50%,United States,349000,-29.80%,51.04,1.18B,3.46,,2.87%,1.18B,0.57,107.81,,-419837504,21.30%,1597400064,5.83%,2.87%,0.84,2.93%,19.78,5263600128,24984999936,23170299904,110.47,50.02,5.4779053,1.60%,189.81,Seattle,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}]",109.53,125,23170299904,1.26925E+11,66390.54414,1350828484
TTEK,"Tetra Tech, Inc.","Tetra Tech, Inc. provides consulting and engineering services worldwide. The company operates through Government Services Group (GSG) and Commercial/International Services Group (CIG) segments. The GSG segment offers early data collection and monitoring, data analysis and information technology, science and engineering applied research, engineering design, construction management, and operations and maintenance services; and climate change and energy management consulting, as well as greenhouse gas inventory assessment, certification, reduction, and management services. This segment serves federal, state, and local governments, and development agencies in water resources analysis and water management, environmental monitoring, data analytics, government consulting, waste management, and a range of civil infrastructure master planning and engineering design markets. The CIG segment provides early data collection and monitoring, data analysis and information management, feasibility studies and assessments, science and engineering applied research, engineering design, construction management, and operations and maintenance services. This segment serves natural resources, energy, and utilities markets, as well as civil infrastructure master planning and engineering design markets. Tetra Tech, Inc. was founded in 1966 and is headquartered in Pasadena, California.",Industrials,Engineering & Construction,0.875947,7.231,13.41%,3.09,-1.40%,-0.19%,-0.06%,,133.34,27-12-2020,0.49%,20.18%,09-02-2021,1.21%,90.56%,United States,20000,10.80%,28.16,53.36M,3.84,6.54,7.65%,54.23M,3.27,133.34,51.32,271567744,19.37%,313683008,10.53%,7.65%,1.25,6.46%,43.27,163438000,567246976,2339719936,144.69,63.61,3.09049,0.49%,40.79,Pasadena,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",148.33,170,2339719936,7230881280,116985.9968,246372509.3
UAA,"Under Armour, Inc.","Under Armour, Inc., together with its subsidiaries, develops, markets, and distributes branded performance apparel, footwear, and accessories for men, women, and youth primarily in North America, Europe, the Middle East, Africa, the Asia-Pacific, and Latin America. The company offers its apparel in compression, fitted, and loose types to be worn in hot and cold. It also provides various footwear products for running, basketball, cleated sports, slides, training, and outdoor. In addition, the company offers accessories, which include gloves, bags, headwear, and sports masks; and digital fitness subscriptions, as well as digital advertising through MapMyFitness platform. It primarily offers its products under the HEATGEAR, COLDGEAR, RUSH or RECOVER, UA HOVR, UA Logo, UNDER ARMOUR, UA, ARMOUR, PROTECT THIS HOUSE, I WILL, ARMOUR BRA, and ARMOUR FLEECE brands. The company sells its products through wholesale channels, including national and regional sporting goods chains, independent and specialty retailers, department store chains, mono-branded Under Armour retail stores, institutional athletic departments, and leagues and teams, as well as independent distributors; and directly to consumers through a network of 439 brand and factory house stores, as well as through e-commerce websites. Under Armour, Inc. was founded in 1996 and is headquartered in Baltimore, Maryland.",Consumer Cyclical,Apparel Manufacturing,1.223726,9.727,4.76%,2.17,-2.60%,-0.12%,-0.06%,,23.38,31-12-2020,,0.00%,,0.43%,91.69%,United States,7000,,70.64,353.26M,0.34,6.35,-12.27%,188.62M,-1.21,23.38,119.66,243690752,48.55%,212864000,-0.17%,-12.27%,1.46,-0.09%,9.85,1517361024,2005531008,4474667008,23.73,7.15,2.1738956,,,Baltimore,United States,"[{'raw': 1620604800, 'fmt': '2021-05-10'}, {'raw': 1620950400, 'fmt': '2021-05-14'}]",22.52,30,4474667008,9727459328,639238.144,-7606933.914
UA,"Under Armour, Inc.","Under Armour, Inc., together with its subsidiaries, develops, markets, and distributes branded performance apparel, footwear, and accessories for men, women, and youth primarily in North America, Europe, the Middle East, Africa, the Asia-Pacific, and Latin America. The company offers its apparel in compression, fitted, and loose types to be worn in hot and cold. It also provides various footwear products for running, basketball, cleated sports, slides, training, and outdoor. In addition, the company offers accessories, which include gloves, bags, headwear, and sports masks; and digital fitness subscriptions, as well as digital advertising through MapMyFitness platform. It primarily offers its products under the HEATGEAR, COLDGEAR, RUSH or RECOVER, UA HOVR, UA Logo, UNDER ARMOUR, UA, ARMOUR, PROTECT THIS HOUSE, I WILL, ARMOUR BRA, and ARMOUR FLEECE brands. The company sells its products through wholesale channels, including national and regional sporting goods chains, independent and specialty retailers, department store chains, mono-branded Under Armour retail stores, institutional athletic departments, and leagues and teams, as well as independent distributors; and directly to consumers through a network of 439 brand and factory house stores, as well as through e-commerce websites. Under Armour, Inc. was founded in 1996 and is headquartered in Baltimore, Maryland.",Consumer Cyclical,Apparel Manufacturing,1.223726,9.727,4.76%,2.17,-2.60%,-0.12%,-0.06%,,19.45,31-12-2020,,0.00%,,16.04%,72.51%,United States,7000,,59.29,353.26M,0.3,5.28,-12.27%,231.98M,-1.21,19.45,119.66,243690752,48.55%,212864000,-0.17%,-12.27%,1.46,-0.09%,9.85,1517361024,2005531008,4474667008,19.72,6.37,2.173894,,,Baltimore,United States,"[{'raw': 1524614400, 'fmt': '2018-04-25'}, {'raw': 1525046400, 'fmt': '2018-04-30'}]",8,8,4474667008,9727451136,639238.144,-7606933.914
IART,Integra LifeSciences Holdings C,"Integra LifeSciences Holdings Corporation develops, manufactures, and markets surgical implants and medical instruments for use in neurosurgery, extremity reconstruction, orthopedics, and general surgery. It operates in two segments, Codman Specialty Surgical, and Orthopedics and Tissue Technologies. The company offers neurosurgery and neuro critical care products, including tissue ablation equipment, dural repair products, cerebral spinal fluid management devices, hydrocephalus management systems, intracranial monitoring equipment, and cranial stabilization equipment; and surgical headlamps and instrumentation, as well as asset management software and support, and after-market services. It also sells approximately 40,000 instrument patterns, and surgical and lighting products to hospitals and surgery centers, as well as dental, podiatry, and veterinary offices. In addition, the company provides regenerative technology products for the treatment of acute and chronic wounds; and surgical tissue repair products for hernia repair, peripheral nerve repair and protection, and tendon repair. Further, it offers skin and wound repair, bone and joint fixation implants in the upper and lower extremities, and bone grafts products. The company offers its products directly through various sales forces and other distribution channels to the hospitals, integrated health networks, group purchasing organizations, clinicians, surgery centers, and health care providers in the United States, Europe, Asia Pacific, and internationally. Integra LifeSciences Holdings Corporation was incorporated in 1989 and is headquartered in Princeton, New Jersey.",Healthcare,Medical Devices,1.235644,5.746,14.86%,4.19,-1.60%,-0.24%,-0.06%,,68.1,31-12-2020,,0.00%,,15.69%,90.42%,United States,3700,505.40%,20.92,71.59M,3.33,3.79,9.76%,84.37M,1.57,68.1,115.47,36564876,64.55%,203832000,16.02%,9.76%,1.76,3.97%,16.21,470166016,1749176064,1371868032,71.34,34.21,4.188151,,43.38,Princeton,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",70.33,80,1371868032,5745590272,370775.1438,219773258.7
TRGP,"Targa Resources, Inc.","Targa Resources Corp., together with its subsidiary, Targa Resources Partners LP, owns, operates, acquires, and develops a portfolio of midstream energy assets in North America. It operates in two segments, Gathering and Processing, and Logistics and Transportation. The company engages in gathering, compressing, treating, processing, transporting, and selling natural gas; storing, fractionating, treating, transporting, and selling natural gas liquids (NGL) and NGL products, including services to liquefied petroleum gas exporters; and gathering, purchasing, storing, terminaling, and selling crude oil. It is also involved in the purchase and resale of NGL products; and wholesale of propane, as well as provision of related logistics services to multi-state retailers, independent retailers, and other end-users. In addition, the company offers NGL balancing services; and transportation services to refineries and petrochemical companies in the Gulf Coast area, as well as purchases, markets, and resells natural gas. It operates approximately 28,700 miles of natural gas pipelines, including 42 owned and operated processing plants; and owns or operates a total of 34 storage wells with a gross storage capacity of approximately 75 million barrels. As of December 31, 2020, the company leased and managed approximately 694 railcars; 124 transport tractors; and 2 company-owned pressurized NGL barges. Targa Resources Corp. was incorporated in 2005 and is headquartered in Houston, Texas.",Energy,Oil & Gas Midstream,2.994582,7.950,21.12%,0.96,4.00%,0.84%,0.88%,,34.77,31-12-2020,1.16%,,29-01-2021,1.50%,86.01%,United States,2372,,8.96,224.45M,1.56,2.99,-18.81%,228.65M,-7.26,34.77,125.94,558787520,38.20%,1744499968,15.25%,-18.81%,0.62,4.54%,35.57,242800000,7813899776,8260299776,35.27,3.66,0.96247107,1.16%,,Houston,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",37.55,48,8260299776,7950299648,3482419.804,1259695716
WEC,"WEC Energy Group, Inc.","WEC Energy Group, Inc., through its subsidiaries, provides regulated natural gas and electricity, and renewable and nonregulated renewable energy services in the United States. The company operates through six segments: Wisconsin, Illinois, Other States, Electric Transmission, Non-Utility Energy Infrastructure, and Corporate and Other. It generates and distributes electricity from coal, natural gas, oil, hydroelectric, wind, solar, and biomass sources; provides electric transmission services; offers retail natural gas distribution services; transports natural gas; and generates, distributes, and sells steam. As of December 31, 2020, it operated approximately 36,100 miles of overhead distribution lines and 34,900 miles of underground distribution cables, as well as 450 electric distribution substations and 507,900 line transformers; 50,300 miles of natural gas distribution mains; 1,100 miles of natural gas transmission mains; 2.3 million natural gas lateral services; 500 natural gas distribution and transmission gate stations; and 68.2 billion cubic feet of working gas capacities in underground natural gas storage fields. The company was formerly known as Wisconsin Energy Corporation and changed its name to WEC Energy Group, Inc. in June 2015. WEC Energy Group, Inc. was incorporated in 1981 and is headquartered in Milwaukee, Wisconsin.",Utilities,Utilities—Regulated Electric,0.152762,27.913,30.32%,3.85,-0.70%,-0.21%,-0.06%,,88.49,31-12-2020,2.91%,66.75%,11-02-2021,0.17%,74.57%,United States,7273,-2.00%,15.5,314.79M,4.28,2.67,16.57%,315.44M,3.79,88.49,134.43,-519437504,40.16%,2196000000,24.30%,16.57%,0.3,3.06%,22.96,24800000,14333400064,7241699840,109.53,68.01,3.8544602,2.91%,23.35,Milwaukee,United States,"[{'raw': 1620000000, 'fmt': '2021-05-03'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",93.08,112,7241699840,27912843264,995696.3894,1759733061
SWKS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products, including intellectual property in the United States, China, South Korea, Taiwan, Europe, the Middle East, Africa, and rest of Asia-Pacific. Its product portfolio includes amplifiers, antenna tuners, attenuators, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, wireless analog system on chip products, directional couplers, diversity receive modules, filters, front-end modules, hybrids, light emitting diode drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for use in the aerospace, automotive, broadband, cellular infrastructure, connected home, entertainment and gaming, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. The company was founded in 1962 and is headquartered in Irvine, California.",Technology,Semiconductors,1.162513,28.414,32.53%,7.16,68.50%,22.28%,3.11%,,172.31,01-01-2021,1.08%,29.61%,12-02-2021,0.35%,79.52%,United States,10000,98.10%,17.83,164.28M,10.75,6.44,26.88%,164.9M,6.33,172.31,4.21,598200000,49.22%,1291200000,30.77%,26.88%,3.37,14.53%,23.73,1018600000,185700000,3969600000,195.82,67.9,7.15788,1.08%,27.24,Irvine,United States,"[{'raw': 1620000000, 'fmt': '2021-05-03'}, {'raw': 1620345600, 'fmt': '2021-05-07'}]",201.52,245,3969600000,28413919232,396960,1221445920
BKNG,Booking Holdings Inc. Common St,"Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com, which offers online accommodation reservations; Rentalcars.com that provides online rental car reservation services; Priceline, which offer online travel reservation services, including hotel, rental car and airline ticket reservation services, as well as vacation packages and cruises; and Agoda that provides online accommodation reservation services, as well as flight, ground transportation and activities reservation services. It also operates KAYAK, an online price comparison service that allows consumers to search and compare travel itineraries and prices, comprising airline ticket, accommodation reservation, and rental car reservation information; and OpenTable for booking online restaurant reservations. Further, it offers travel-related insurance products, and restaurant management services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. Booking Holdings Inc. was founded in 1997 and is headquartered in Norwalk, Connecticut.",Consumer Cyclical,Travel Services,1.25027,98.351,1.25%,14.47,-62.90%,-0.79%,-0.05%,,"2,401.04",31-12-2020,,0.00%,,0.35%,96.27%,United States,20097,,96.17,40.81M,93.94,20.1,0.87%,40.96M,1.44,2401.04,256.26,259000000,71.39%,85000000,8.53%,0.87%,3.39,1.68%,165.86,11063000064,12538999808,6796000256,"2,450.26","1,107.29",14.471884,,"1,667.39",Norwalk,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]","2,432.46","3,000.00",6796000256,98350923776,338159.9371,579698821.8
SLG,SL Green Realty Corp,"SL Green Realty Corp., an S&P 500 company and Manhattan's largest office landlord, is a fully integrated real estate investment trust, or REIT, that is focused primarily on acquiring, managing and maximizing value of Manhattan commercial properties. As of December 31, 2020, SL Green held interests in 88 buildings totaling 38.2 million square feet. This included ownership interests in 28.6 million square feet of Manhattan buildings and 8.7 million square feet securing debt and preferred equity investments.",Real Estate,REIT—Office,1.655471,5.393,53.94%,5.25,-0.50%,-0.27%,-0.05%,,77.76,31-12-2020,4.04%,60.75%,25-02-2021,,,United States,794,639.10%,21.55,69.17M,-1.05,1.14,36.96%,69.35M,5.01,77.76,99.74,694761600,62.19%,554236032,28.10%,36.96%,1.27,1.47%,14.58,266087008,5481924096,1027548992,77.79,36.21,5.2481375,4.04%,15.52,New York,United States,"[{'raw': 1618876800, 'fmt': '2021-04-20'}, {'raw': 1619395200, 'fmt': '2021-04-26'}]",67.51,108.15,1027548992,5392718336,1294142.307,288741266.8
BHC,Bausch Health Companies Inc.,"Bausch Health Companies Inc. develops, manufactures, and markets a range of pharmaceutical, medical device, and over-the-counter (OTC) products primarily in the therapeutic areas of eye health, gastroenterology, and dermatology. The company operates through four segments: Bausch + Lomb/International, Salix, Ortho Dermatologics, and Diversified Products. The Bausch + Lomb/International segment offers products with a focus on the vision care, surgical, and consumer and ophthalmology Rx products in the United States; and Solta products, branded and generic pharmaceutical products, OTC products, and medical device products, and Bausch + Lomb products in Canada, Europe, Asia, Australia, Latin America, Africa, and the Middle East. The Salix segment provides gastroenterology products in the United States. The Ortho Dermatologics segment offers dermatological products in the United States; and Solta medical aesthetic devices internationally. The Diversified Products segment provides pharmaceutical products in the areas of neurology and other therapeutic classes, as well as generic and dentistry products in the United States. The company was formerly known as Valeant Pharmaceuticals International, Inc. and changed its name to Bausch Health Companies Inc. in July 2018. Bausch Health Companies Inc. is headquartered in Laval, Canada.",Healthcare,Drug Manufacturers—Specialty & Generic,1.400866,11.804,13.84%,1.47,-0.50%,-0.07%,-0.05%,,33.34,31-12-2020,,0.00%,10-11-2010,0.56%,66.75%,Canada,21600,,11.25,309.63M,5.02,22.15,-6.98%,354.99M,-1.58,33.34,"4,000.66",446000000,71.98%,1111000064,16.62%,-6.98%,0.44,2.56%,22.61,605000000,24203999232,8026999808,34.8,11.15,1.4705113,,,Laval,Canada,[],35.13,50,8026999808,11803794432,371620.3615,1334087368
PB,"Prosperity Bancshares, Inc.","Prosperity Bancshares, Inc. operates as bank holding company for the Prosperity Bank that provides retail and commercial banking services to businesses and consumers. It accepts various deposit products, such as demand, savings, money market, and time accounts; and certificates of deposit. The company also offers 1-4 family residential mortgage, commercial real estate and multifamily residential, commercial and industrial, agricultural real estate, and non-real estate agricultural loans, as well as construction, land development, and other land loans; consumer loans, including automobile, recreational vehicle, boat, home improvement, personal, and deposit account collateralized loans; and consumer durables and home equity loans, as well as loans for working capital, business expansion, and purchase of equipment and machinery. In addition, it provides internet banking and other cash management, mobile banking, trust and wealth management, retail brokerage, mortgage banking, and automated telephone banking services, as well as debit and credit cards. As of December 31, 2020, the company operated 275 full-service banking locations comprising 65 in the Houston area, including The Woodlands; 30 in the South Texas area including Corpus Christi and Victoria; 65 in the Dallas/Fort Worth, Texas area; 22 in the East Texas area; 29 in the Central Texas area, including Austin and San Antonio; 34 in the West Texas area, including Lubbock, Midland-Odessa and Abilene; 16 in the Bryan/College Station area; 6 in the Central Oklahoma area; and 8 in the Tulsa, Oklahoma area, as well as 42 locations in the Dallas/Fort Worth area doing business as LegacyTexas Bank. Prosperity Bancshares, Inc. was founded in 1983 and is based in Houston, Texas.",Financial Services,Banks—Regional,1.36403,7.479,50.98%,6.55,10.70%,5.45%,0.83%,,80.48,31-12-2020,2.39%,32.92%,12-03-2021,4.17%,81.25%,United States,3756,59.20%,,88.89M,5.29,1.22,46.30%,92.56M,5.68,80.48,,,0.00%,582321024,59.20%,46.30%,,1.60%,12.27,1343549056,458495008,1142267008,80.54,42.02,6.5475683,2.39%,14.17,Houston,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",74.13,88,1142267008,7479071232,304117.9468,676222068.7
TKR,Timken Company (The),"The Timken Company designs, manufactures, and manages engineered bearings and power transmission products and services worldwide. It operates in two segments, Mobile Industries and Process Industries. The Mobile Industries segment offers a portfolio of bearings, seals, and lubrication devices and systems, as well as power transmission components, engineered chains, augers, belts, couplings, clutches, brakes, and related products and maintenance services to original equipment manufacturers (OEMs) and end users of off-highway equipment for the agricultural, construction, mining, outdoor power equipment, and power sports markets; and on-highway vehicles, including passenger cars, light trucks, and medium- and heavy-duty trucks, as well as rail cars and locomotives. It also provides power transmission systems and flight-critical components for civil and military aircraft, which comprise bearings, rotor-head assemblies, helicopter transmission systems, turbine engine components, gears, and housings. This segment sells it parts through a network of authorized automotive and heavy-truck distributors to individual end users, equipment owners, operators, and maintenance shops. The Process Industries segment provides industrial bearings and assemblies; power transmission components, such as gears and gearboxes; and linear motion products, couplings, seals, lubricants, chains, belts, and related products and services to OEMs and end-users in various industries. It also offers aftermarket sales and service needs through a network of authorized industrial distributors; and offers repair and service for bearings and gearboxes, as well as electric motor rewind, repair, and services to end users. The company offers its products under the Timken, Philadelphia Gear, Drives, Cone Drive, Rollon, Lovejoy, Diamond, BEKA, and Groeneveld brands. The company was founded in 1899 and is headquartered in North Canton, Ohio.",Industrials,Tools & Accessories,1.790899,6.233,16.44%,1.77,-0.50%,-0.08%,-0.05%,,82.32,31-12-2020,1.37%,30.38%,19-02-2021,12.72%,83.46%,United States,17000,-53.20%,11.59,72.35M,5.64,2.89,8.10%,75.71M,3.72,82.32,74.93,393437504,28.75%,577600000,13.94%,8.10%,1.24,6.19%,46.62,357900000,1667299968,3513200128,86.44,22.26,1.7740251,1.37%,22.13,North Canton,United States,"[{'raw': 1619654400, 'fmt': '2021-04-29'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",91.6,100,3513200128,6232505344,206658.8311,489740097.8
CPT,Camden Property Trust,"Camden Property Trust, an S&P 400 Company, is a real estate company primarily engaged in the ownership, management, development, redevelopment, acquisition, and construction of multifamily apartment communities. Camden owns interests in and operates 167 properties containing 56,850 apartment homes across the United States. Upon completion of 7 properties currently under development, the Company's portfolio will increase to 59,104 apartment homes in 174 properties. Camden has been recognized as one of the 100 Best Companies to Work ForÂ® by FORTUNE magazine for 13 consecutive years, most recently ranking #18. The Company also received a Glassdoor Employees' Choice Award in 2020, ranking #25 for large U.S. companies.",Real Estate,REIT—Residential,0.754604,10.401,48.73%,9.76,-0.90%,-0.44%,-0.04%,,106.61,31-12-2020,3.19%,267.74%,30-03-2021,1.97%,97.45%,United States,1700,-69.30%,22.27,96.18M,1.54,3.08,11.63%,99.43M,1.24,106.61,90.42,481376128,60.73%,519319008,21.32%,11.63%,1.32,2.04%,10.72,420440992,3179624960,1065638016,110,62.48,9.76052,3.19%,85.98,Houston,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",110.63,118,1065638016,10401180672,626845.8918,227194025
VMC,Vulcan Materials Company (Holdi,"Vulcan Materials Company produces and supplies construction aggregate primarily in the United States. It operates through four segments: Aggregates, Asphalt, Concrete, and Calcium. The Aggregates segment provides crushed stones, sand and gravel, sand, and other aggregates; and related products and services that are applied in construction and maintenance of highways, streets, and other public works, as well as in the construction of housing and commercial, industrial, and other nonresidential facilities. The Asphalt Mix segment offers asphalt mix in Alabama, Arizona, California, New Mexico, Tennessee, and Texas, as well as engages in the asphalt construction paving activity in Alabama, Tennessee, and Texas. The Concrete segment provides ready-mixed concrete in Maryland, Texas and Virginia, and Washington D.C. The Calcium segment mines, produces, and sells calcium products for the animal feed, plastics, and water treatment industries. The company was formerly known as Virginia Holdco, Inc. and changed its name to Vulcan Materials Company. Vulcan Materials Company was founded in 1909 and is headquartered in Birmingham, Alabama.",Basic Materials,Building Materials,0.597508,22.790,22.04%,4.69,-0.90%,-0.20%,-0.04%,,171.94,31-12-2020,0.79%,30.84%,26-02-2021,0.18%,92.07%,United States,8847,-18.80%,19.85,132.2M,5.91,3.78,12.03%,132.55M,4.38,171.94,61.89,547896768,26.39%,1070358976,18.10%,12.03%,1.64,4.92%,36.63,1197068032,3730412032,4856825856,175.02,65.56,4.6923923,0.79%,39.22,Birmingham,United States,"[{'raw': 1620086400, 'fmt': '2021-05-04'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",165.5,200,4856825856,22790131712,548979.9769,879085479.9
TYL,"Tyler Technologies, Inc.","Tyler Technologies, Inc. provides integrated information management solutions and services for the public sector in the United States and internationally. The company operates in two segments, Enterprise Software, and Appraisal and Tax. It offers financial management solutions, including modular fund accounting systems for government agencies or not-for-profit entities; utility billing systems for the billing and collection of metered and non-metered services; products to automate city and county functions, such as municipal courts, parking tickets, equipment and project costing, animal and business licenses, permits and inspections, code enforcement, citizen complaint tracking, ambulance billing, fleet maintenance, and cemetery records management; and student information and transportation solutions for K-12 schools. The company also provides a suite of judicial solutions comprising court case management, court and law enforcement, prosecutor, and supervision systems to handle multi-jurisdictional county or statewide implementations, and single county systems; public safety software solutions; systems and software to automate the appraisal and assessment of real and personal property, as well as tax applications for agencies that bill and collect taxes; planning, regulatory, and maintenance software solutions for public sector agencies; software applications to enhance and automate operations involving records and document management; and data and insights solutions. In addition, it offers software as a service arrangements and electronic document filing solutions for courts and law offices; software and hardware installation, data conversion, training, product modification, and maintenance and support services; and property appraisal outsourcing services for taxing jurisdictions. Tyler Technologies, Inc. has a strategic collaboration agreement with Amazon Web Services for cloud hosting services. The company was founded in 1966 and is headquartered in Plano, Texas.",Technology,Software—Application,0.608342,16.710,31.80%,14.96,-1.90%,-0.60%,-0.04%,,411.82,31-12-2020,,0.00%,31-01-1990,1.32%,95.14%,United States,5500,15.60%,72.52,40.05M,6.53,8.41,17.45%,40.58M,4.69,411.82,1.12,254276496,48.58%,355088992,15.49%,17.45%,1.91,4.50%,27.89,675809984,22183000,1116663040,479.79,247.22,14.964494,,87.81,Plano,United States,"[{'raw': 1619481600, 'fmt': '2021-04-27'}, {'raw': 1620000000, 'fmt': '2021-05-03'}]",484.5,520,1116663040,16710296576,203029.6436,172971104.9
FIS,Fidelity National Information S,"Fidelity National Information Services, Inc. provides technology solutions for merchants, banks, and capital markets firms worldwide. It operates through Merchant Solutions, Banking Solutions, and Capital Market Solutions segments. The Merchant Solutions segment offers merchant acquiring, integrated payment, and global e-commerce solutions. The Banking Solutions segment provides core processing and ancillary applications; digital solutions, including Internet, mobile, and e-banking; fraud, risk management, and compliance solutions; electronic funds transfer and network services; card and retail payment solutions; wealth and retirement solutions; and item processing and output services. The Capital Market Solutions segment offers securities processing and finance, global trading, asset management and insurance, and corporate liquidity solutions. The company was founded in 1968 and is headquartered in Jacksonville, Florida.",Technology,Information Technology Services,0.857529,90.865,35.39%,7.24,-0.80%,-0.28%,-0.04%,,146.29,31-12-2020,0.97%,560.00%,11-03-2021,0.36%,93.83%,United States,62000,,26.14,619.28M,7.34,1.84,1.26%,621.13M,0.25,146.29,41.67,4109374976,33.49%,4441999872,12.32%,1.26%,0.46,1.15%,20.28,1959000064,20619999232,12551999488,156.73,91.68,7.2390823,0.97%,585.16,Jacksonville,United States,"[{'raw': 1620172800, 'fmt': '2021-05-05'}, {'raw': 1620604800, 'fmt': '2021-05-10'}]",159.91,178,12551999488,90864959488,202451.6046,1546406337
INFO,IHS Markit Ltd.,"IHS Markit Ltd. provides critical information, analytics, and solutions for various industries and markets worldwide. The company's information, analytics, and solutions enhance operational efficiency and offer deep insights for customers in business, finance, and government. Its Financial Services segment offers pricing and reference data, indices, valuation and trading services, trade processing, enterprise software, and managed services to traders, portfolio managers, risk managers, research professionals, and other financial market participants, as well as operations, compliance, and enterprise data managers. The company's Transportation segment provides authoritative analysis; sales and production forecasts for light vehicles, medium and heavy commercial vehicles, powertrains, components, and technology systems; performance measurement and marketing tools for carmakers, dealers, and agencies; predictive analytics and marketing automation software; and critical information for used car dealers and their customers in the used car buying process. It also offers comprehensive data on ships, and monthly import and export statistics. The company's Resources segment provides upstream services, including technical information, analytical tools, and market forecasting and consulting for the upstream industry; and downstream information, such as market forecasting, midstream market analysis and supply chain data, refining and marketing economics, and oil product pricing information for the chemical, refined products, agriculture, and power industries. The company's Consolidated Markets & Solutions segment provides discovery technologies, research tools, and software-based engineering decision engines; economic and risk data and analytics, forecasts, and scenario tools; and performance and cost benchmarking analysis for technology, media, and telecom industry. IHS Markit Ltd. was founded in 1959 and is headquartered in London, the United Kingdom.",Industrials,Consulting Services,1.010292,37.490,26.56%,8.74,-1.20%,-0.32%,-0.04%,,94.53,30-11-2020,0.72%,31.34%,28-01-2021,6.57%,91.41%,United Kingdom,16000,-25.60%,27.7,394.26M,3.51,4.39,20.31%,421.71M,2.17,94.53,61.7,1045012480,62.92%,1138800000,22.12%,20.31%,0.51,3.68%,10.81,125600000,5271000064,4287800064,101.45,44.81,8.743374,0.72%,43.56,London,United Kingdom,"[{'raw': 1616457600, 'fmt': '2021-03-23'}]",107.43,124,4287800064,37489840128,267987.504,948461374.2
